alert_name,smarts
(poly(azo(anthracene)),"c12:[c,n]:[c,n]:[c,n]:[c,n]:c1[c,n]c3:[c,n]:[c,n]:[c,n]:[c,n]:c3[c,n]2"
(poly(azo(phenanthrene)),"c12:[c,n]:[c,n]:[c,n]:[c,n]:c1:[c,n]:[c,n]:c3:[c,n]:[c,n]:[c,n]:[c,n]:c23"
"2,3,4trihydroxyphenyl",c([OH])c([OH])c([OH])
"2,4,5trihydroxyphenyl",c([OH])c([OH])cc([OH])
2-halo pyridine,"n1c([F,Cl,Br,I])cccc1"
2-halopyridine,"[F,Cl,Br][c]1:[c,n]:[c,n]:[c,n]:[c,n]:[n]1"
2halo_pyrazine_3EWG,"[#7;R1]1[#6]([F,Cl,Br,I])[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#7][#6][#6]1"
2halo_pyrazine_5EWG,"[#7;R1]1[#6]([F,Cl,Br,I])[#6;!$(c-N)][#7][#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6;!$(c-N)]1"
2halo_pyridazine_3EWG,"[#7;R1]1[#6]([F,Cl,Br,I])[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6][#6][#7]1"
2halo_pyridazine_5EWG,"[#7;R1]1[#6]([F,Cl,Br,I])[#6][#6][#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#7]1"
2halo_pyridine_3EWG,"[#7;R1]1[#6;!$(c=O)]([F,Cl,Br,I])[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6;!$(c-N)][#6][#6;!$(c-N)]1"
2halo_pyridine_5EWG,"[#7;R1]1[#6;!$(c=O)]([F,Cl,Br,I])[#6][#6;!$(c-N)][#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6;!$(c=O);!$(c-N)]1"
2halo_pyrimidine_5EWG,"[#7;R1]1[#6]([F,Cl,Br,I])[#7][#6][#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6]1"
3halo_pyridazine_2EWG,"[#7;R1]1[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6]([F,Cl,Br,I])[#6][#6][#7]1"
3halo_pyridazine_4EWG,"[#7;R1]1[#6][#6]([F,Cl,Br,I])[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6][#7]1"
4-halopyridine,"[F,Cl,Br][c]1:[c,n]:[c,n]:[n]:[c,n]:[c,n]1"
4_pyridone_3_5_EWG,"[#7,#8,#16]1~[#6;H]~[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])~[#6](=O)~[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])~[#6;H]1"
4halo_pyridine_3EWG,"[#7;R1]1[#6;!$(c=O);!$(c-N)][#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6]([F,Cl,Br,I])[#6][#6;!$(c=O);!$(c-N)]1"
4halo_pyrimidine_5EWG,"[#7]1[#6][#7;R1][#6]([F,Cl,Br,I])[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6]1"
> 2 ester groups,"C(=O)O[C,H1].C(=O)O[C,H1].C(=O)O[C,H1]"
Aliphatic long chain,[R0;D2][R0;D2][R0;D2][R0;D2]
Azide,N=N=N
Azido group,N=[N+]=[N-]
Azo,N=N
Azo group,N#N
Beta halo carbonyl,"O=CCC[F,Cl,Br,I]"
CH2_S#O_3_ring,"[CH2]1[O,S]C1"
Carbocation/anion,"[C+,c+,C-,c-]"
Dipeptide,*-C(=O)-&!@[NH]-C-&!@C(=O)-&!@[NH]-*
Dye 1 (1),"c1cccc(C(=O)[C,c]([#7])=,:[C,c]([#7])C2(=O))c12"
Dye 11,"*=,:[#6]C([#6]=,:*)[#6]=,:*"
Dye 16 (1),c([N+](=O)[O-])
Dye 2,OCccCO
Dye 22,NS(=O)(=O)c1cccc([#7])c1
Dye 25,acC=&!@Cca
Dye 26,c1ccccc1-n2nnnc2[CH2]*
Dye 29,"O=[N+](-[O-])-caac-[$(N(C)C),$([NH]C),$([NH2])]"
Dye 31,a1aaac2ac3acac4aaac(c34)c12
Dye 32,"c1cccc2C(=O)C(C:,=*)C(=O)c12"
Dye 4,c12ccccc1C(=O)c3ccccc3C2=O
Dye 6,c12cccc(C(=O)C(ca)C(=O)3)c2c3ccc1
Dye 7,"N=C1[#6]:,=[#6]C(=[C,N])[#6]:,=[#6]1"
Dye 8,c12cccc(C(=O)N(-&!@C)C(=O)3)c2c3ccc1
Dye 9,[a]c-[*]=&!@[*]-&!@C(=O)-&!@c[a]
Ester,[#6]-C(=O)O-[#6]
HOBT ester,C(=O)Onnn
HOBT_ester,"O=C(-[!N])O[$(nnn),$([#7]-[#7]=[#7])]"
Hetero_hetero,"*[N,S,O]-&!@[N,S,O][#6]"
Heteroaryl sulfonate,"a-S(=O)(=O)-O[$([a&!#6]),$(c[a&!#6]),$(cc[a&!#6]),$(ccc[a&!#6]),$(cccc[a&!#6]),$(ccccc[a&!#6])]"
I1 Aliphatic methylene chains 7 or more long,[CD2;R0][CD2;R0][CD2;R0][CD2;R0][CD2;R0][CD2;R0][CD2;R0]
I10 Thiocyanate,SC#N
I11 Benzylic quaternary Nitrogen,cC[N+]
I12 Thioesters,"C[O,S;R0][C;R0](=S)"
I13 Cyanamides,N[CH2]C#N
I14 Four membered lactones,C1(=O)OCC1
I15 Di and Triphosphates,P(=O)([OH])OP(=O)[OH]
I16 Betalactams,N1CCC1=O
I2 Compounds with 4 or more acidic groups,"[C,S,P](=O)[OH].[C,S,P](=O)[OH].[C,S,P](=O)[OH].[C,S,P](=O)[OH]"
I3 Crown ethers,[O;R1][C;R1][C;R1][O;R1][C;R1][C;R1][O;R1]
I4 Disulphides,SS
I5 Thiols,[SH]
"I6 Epoxides, Thioepoxides, Aziridines","C1[O,S,N]C1"
"I7 2,4,5 trihydroxyphenyl",c([OH])c([OH])c([OH])
"I8 2,3,4 trihydroxyphenyl",c([OH])c([OH])cc([OH])
I9 Hydrazothiourea,N=NC(=S)N
Imine 3,C=[NH]
Ketone,[#6]-C(=O)-[#6]
Lawesson reagent derivatives,P(=S)(S)S
Long aliphatic chain,"[N,C,S,O]!@[N,C,S,O]!@[N,C,S,O]!@[N,C,S,O]!@[N,C,S,O]!@[N,C,S,O]!@[N,C,S,O]"
Michael acceptor,"C=!@CC=[O,S]"
Michael acceptor,"[$([CH]),$(CC)]#CC(=O)[C,c]"
Michael acceptor,"[$([CH]),$(CC)]#CS(=O)(=O)[C,c]"
Michael acceptor,C=C(C=O)C=O
Michael acceptor,"[$([CH]),$(CC)]#CC(=O)O[C,c]"
Michael acceptor 6,"[#6,#7]-&!@[#6](=&!@[CH])-&!@C(=O)-&!@[C,N,O,S]"
N oxide,"[NX2,nX3][OX1]"
N-C-halo,"NC[F,Cl,Br,I]"
"N-acyl-2-amino-5-mercapto-1,3,4-thiadiazole",s1c(S)nnc1NC=O
N-halo,"[NX3,NX4][F,Cl,Br,I]"
